Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Exposure_Pct,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct
6,79,15.25,24.87,34.06,24.95,0.77,1.0,24.29,1.3,70,47.02,0.28,27.18,-4.68
6,80,15.23,24.83,34.04,25.07,0.77,0.99,24.64,1.31,69,47.02,0.28,27.18,-4.68
6,81,16.14,26.38,34.95,24.51,0.81,1.08,24.64,1.33,69,46.98,0.29,27.18,-4.68
6,82,14.81,24.11,33.62,25.22,0.76,0.96,24.64,1.3,69,46.93,0.27,27.18,-4.68
6,83,15.22,24.81,34.03,25.67,0.77,0.97,25.35,1.31,71,46.89,0.27,27.18,-4.68
6,84,13.15,21.33,31.96,26.75,0.7,0.8,24.66,1.27,73,46.84,0.24,27.18,-4.68
6,85,12.75,20.65,31.56,27.21,0.68,0.76,25.35,1.27,71,46.8,0.24,27.18,-4.68
6,86,13.19,21.39,32.0,27.34,0.7,0.78,25.71,1.28,70,46.86,0.25,27.18,-4.68
6,87,11.08,17.87,29.89,28.69,0.62,0.62,23.88,1.25,67,46.8,0.23,27.18,-4.68
6,88,11.02,17.76,29.82,28.61,0.62,0.62,23.88,1.25,67,46.71,0.23,27.18,-4.68
6,89,11.62,18.77,30.43,28.39,0.64,0.66,23.53,1.26,68,46.61,0.24,27.18,-4.68
6,90,10.61,17.09,29.42,29.04,0.61,0.59,23.53,1.24,68,46.57,0.22,27.18,-4.36
6,91,10.44,16.81,29.25,29.35,0.6,0.57,24.29,1.24,70,46.52,0.22,27.18,-4.36
6,92,10.7,17.23,29.51,29.22,0.61,0.59,25.37,1.24,67,46.36,0.23,27.18,-4.36
6,93,10.98,17.69,29.78,29.06,0.62,0.61,25.76,1.25,66,46.36,0.24,27.18,-4.36
6,94,9.88,15.89,28.69,29.49,0.58,0.54,25.37,1.23,67,46.21,0.22,27.18,-4.36
6,95,9.32,14.96,28.13,29.63,0.56,0.5,24.64,1.22,69,46.11,0.2,27.18,-4.36
6,96,9.83,15.79,28.64,28.97,0.58,0.55,25.37,1.23,67,46.07,0.22,27.18,-4.36
6,97,10.09,16.23,28.9,28.8,0.59,0.56,25.37,1.23,67,46.0,0.22,27.18,-4.36
6,98,10.91,17.58,29.72,28.13,0.62,0.63,25.0,1.25,68,45.89,0.23,27.18,-4.36
6,99,9.33,14.97,28.14,29.14,0.56,0.51,24.64,1.22,69,45.84,0.2,27.18,-4.36
6,100,8.79,14.09,27.6,29.13,0.54,0.48,25.0,1.21,68,45.75,0.2,27.18,-4.36
6,101,9.09,14.59,27.9,29.15,0.55,0.5,25.37,1.22,67,45.62,0.21,27.18,-4.36
6,102,7.54,12.05,26.35,30.27,0.49,0.4,25.0,1.19,68,45.61,0.18,27.18,-4.36
6,103,7.77,12.41,26.58,30.22,0.5,0.41,24.64,1.2,69,45.54,0.18,27.18,-4.36
6,104,6.83,10.89,25.64,30.86,0.46,0.35,24.29,1.18,70,45.5,0.17,27.18,-4.36
6,105,6.01,9.56,24.82,31.22,0.43,0.31,24.29,1.17,70,45.41,0.15,27.18,-4.36
6,106,4.08,6.46,22.89,32.49,0.35,0.2,23.94,1.14,71,45.38,0.13,27.18,-4.36
6,107,4.49,7.11,23.29,32.27,0.37,0.22,24.64,1.15,69,45.3,0.13,27.18,-4.36
6,108,3.32,5.24,22.12,32.9,0.32,0.16,23.53,1.13,68,45.14,0.12,27.18,-4.36
6,109,1.95,3.06,20.76,33.96,0.27,0.09,23.88,1.1,67,45.0,0.1,27.18,-4.36
6,110,3.69,5.83,22.49,32.83,0.34,0.18,24.24,1.13,66,44.96,0.13,27.18,-4.36
6,111,4.1,6.49,22.91,32.73,0.35,0.2,24.62,1.14,65,44.89,0.14,27.18,-4.36
6,112,5.08,8.07,23.89,32.2,0.39,0.25,23.81,1.16,63,44.84,0.16,27.18,-4.36
6,113,1.58,2.49,20.39,32.22,0.25,0.08,23.44,1.1,64,44.89,0.1,27.18,-4.36
6,114,0.21,0.32,19.02,32.27,0.19,0.01,23.08,1.08,65,44.82,0.08,27.18,-4.36
6,115,2.1,3.31,20.91,30.85,0.27,0.11,23.81,1.11,63,44.75,0.11,27.18,-4.36
6,116,0.74,1.16,19.55,31.77,0.22,0.04,23.44,1.09,64,44.68,0.09,27.18,-4.36
6,117,-0.64,-1.0,18.17,32.52,0.16,-0.03,23.44,1.07,64,44.64,0.06,27.18,-4.36
6,118,-0.09,-0.15,18.72,32.31,0.18,-0.0,23.44,1.08,64,44.66,0.07,27.18,-4.36
6,119,0.88,1.37,19.68,31.55,0.22,0.04,24.19,1.09,62,44.68,0.09,27.18,-4.36
6,120,1.6,2.51,20.4,31.69,0.25,0.08,24.19,1.1,62,44.64,0.1,27.18,-4.36
6,121,0.58,0.91,19.39,32.75,0.21,0.03,24.19,1.09,62,44.64,0.09,27.18,-4.36
6,122,0.64,1.0,19.45,32.94,0.21,0.03,24.19,1.09,62,44.68,0.09,27.18,-4.36
6,123,2.25,3.54,21.05,31.88,0.28,0.11,24.19,1.12,62,44.64,0.11,27.18,-4.36
6,124,3.35,5.29,22.16,31.3,0.32,0.17,23.81,1.14,63,44.61,0.13,27.18,-4.36
6,125,5.24,8.31,24.05,30.05,0.4,0.28,23.81,1.17,63,44.61,0.15,27.18,-4.36
6,126,5.97,9.5,24.78,29.69,0.43,0.32,24.62,1.19,65,44.57,0.16,27.18,-4.36
6,127,6.18,9.83,24.99,29.43,0.44,0.33,24.24,1.19,66,44.59,0.16,27.18,-4.36
6,128,5.76,9.16,24.57,29.69,0.42,0.31,23.88,1.18,67,44.59,0.15,27.18,-4.36
6,129,5.93,9.43,24.74,29.6,0.43,0.32,23.88,1.19,67,44.55,0.16,27.18,-4.36
6,130,6.14,9.77,24.95,28.88,0.44,0.34,23.19,1.19,69,44.55,0.15,27.18,-4.36
6,131,3.18,5.02,21.99,30.7,0.32,0.16,21.92,1.13,73,44.55,0.11,27.18,-4.36
6,132,0.41,0.64,19.22,33.03,0.2,0.02,22.22,1.08,72,44.54,0.07,27.18,-4.36
6,133,-0.92,-1.44,17.89,33.55,0.15,-0.04,20.83,1.06,72,44.48,0.05,27.18,-4.36
6,134,-0.17,-0.26,18.64,32.94,0.18,-0.01,21.43,1.07,70,44.54,0.07,27.18,-4.36
6,135,0.22,0.34,19.03,33.1,0.19,0.01,22.06,1.08,68,44.57,0.07,27.18,-4.2
6,136,1.08,1.69,19.89,33.46,0.23,0.05,21.74,1.09,69,44.54,0.09,27.18,-4.2
6,137,-0.46,-0.71,18.35,34.48,0.17,-0.02,20.9,1.07,67,44.43,0.07,27.18,-4.2
6,138,-0.25,-0.39,18.56,34.0,0.17,-0.01,21.21,1.07,66,44.55,0.07,27.18,-4.2
6,139,-0.85,-1.32,17.96,34.69,0.15,-0.04,22.22,1.06,63,44.61,0.06,27.18,-4.2
6,140,-0.68,-1.06,18.13,34.62,0.16,-0.03,22.22,1.06,63,44.61,0.06,27.18,-4.2
6,141,0.31,0.48,19.12,34.09,0.2,0.01,21.88,1.08,64,44.59,0.08,27.18,-4.2
6,142,1.22,1.91,20.02,33.42,0.24,0.06,22.22,1.1,63,44.54,0.09,27.18,-4.2
6,143,-0.85,-1.33,17.96,34.17,0.15,-0.04,20.9,1.06,67,44.48,0.06,27.18,-4.2
6,144,-0.65,-1.01,18.16,33.72,0.16,-0.03,20.9,1.07,67,44.43,0.06,27.18,-4.2
6,145,-0.82,-1.27,17.99,34.01,0.15,-0.04,19.7,1.06,66,44.45,0.06,27.18,-4.2
6,146,2.91,4.59,21.72,31.25,0.31,0.15,19.7,1.13,66,44.41,0.11,27.18,-4.2
6,147,5.76,9.16,24.57,29.46,0.42,0.31,20.97,1.18,62,44.34,0.17,27.18,-4.2
6,148,6.33,10.08,25.14,29.08,0.44,0.35,21.31,1.19,61,44.3,0.18,27.18,-4.2
6,149,5.62,8.92,24.42,29.89,0.42,0.3,21.67,1.18,60,44.29,0.17,27.18,-4.2
6,150,6.09,9.69,24.9,28.88,0.43,0.34,20.0,1.19,60,44.29,0.18,27.18,-4.2
6,151,5.94,9.44,24.74,29.37,0.43,0.32,20.0,1.19,60,44.38,0.17,27.18,-4.2
6,152,5.78,9.19,24.59,29.43,0.42,0.31,19.67,1.19,61,44.41,0.17,27.18,-4.2
6,153,7.4,11.82,26.21,28.65,0.49,0.41,19.67,1.22,61,44.5,0.19,27.18,-4.2
6,154,8.0,12.79,26.81,28.41,0.51,0.45,20.0,1.23,60,44.55,0.21,27.18,-4.2
6,155,6.04,9.61,24.85,28.51,0.43,0.34,20.0,1.19,60,44.61,0.17,27.18,-4.2
6,156,4.81,7.63,23.62,29.33,0.38,0.26,20.0,1.17,60,44.55,0.16,27.18,-4.2
6,157,6.86,10.94,25.67,27.92,0.46,0.39,20.0,1.21,60,44.59,0.19,27.18,-4.2
6,158,8.35,13.36,27.16,26.92,0.52,0.5,20.69,1.24,58,44.62,0.22,27.18,-4.2
6,159,8.32,13.31,27.13,26.94,0.52,0.49,20.69,1.24,58,44.61,0.22,27.18,-4.2
6,160,10.02,16.1,28.82,25.95,0.59,0.62,21.05,1.28,57,44.66,0.25,27.18,-4.2
6,161,8.25,13.2,27.06,27.14,0.52,0.49,20.69,1.24,58,44.66,0.21,27.18,-4.2
6,162,7.29,11.64,26.1,27.32,0.48,0.43,20.34,1.22,59,44.7,0.2,27.18,-4.2
6,163,7.84,12.53,26.65,27.53,0.5,0.46,20.34,1.23,59,44.73,0.2,27.18,-4.2
6,164,8.36,13.38,27.17,27.04,0.52,0.49,20.69,1.24,58,44.8,0.22,27.18,-4.2
6,165,7.66,12.24,26.47,27.69,0.5,0.44,20.69,1.23,58,44.84,0.2,27.18,-4.2
6,166,8.78,14.07,27.59,27.02,0.54,0.52,21.43,1.26,56,44.86,0.23,27.18,-4.2
6,167,9.25,14.85,28.06,26.85,0.56,0.55,21.82,1.27,55,44.86,0.24,27.18,-4.2
6,168,7.98,12.76,26.79,27.07,0.51,0.47,21.43,1.23,56,44.91,0.22,27.18,-4.2
6,169,7.57,12.09,26.38,26.93,0.49,0.45,21.43,1.23,56,44.88,0.21,27.18,-4.2
6,170,6.53,10.41,25.34,27.63,0.45,0.38,20.0,1.2,55,44.93,0.2,27.18,-4.2
6,171,6.33,10.07,25.13,27.58,0.44,0.37,19.64,1.2,56,44.95,0.19,27.18,-4.2
6,172,7.14,11.39,25.95,27.37,0.48,0.42,20.0,1.22,55,44.98,0.21,27.18,-4.2
6,173,6.26,9.97,25.07,27.28,0.44,0.37,20.37,1.2,54,44.96,0.19,27.18,-4.2
6,174,7.24,11.56,26.05,26.61,0.48,0.43,20.37,1.22,54,44.98,0.21,27.18,-4.2
6,175,7.44,11.89,26.25,26.65,0.49,0.45,20.37,1.23,54,44.98,0.22,27.18,-4.2
6,176,7.5,11.98,26.31,26.74,0.49,0.45,20.37,1.23,54,44.86,0.22,27.18,-4.2
6,177,8.09,12.95,26.9,26.34,0.51,0.49,20.37,1.24,54,44.89,0.23,27.18,-4.2
6,178,12.56,20.33,31.37,24.16,0.68,0.84,22.64,1.34,53,44.93,0.31,27.18,-4.2
6,179,14.44,23.49,33.25,22.89,0.75,1.03,21.57,1.39,51,44.93,0.36,27.18,-4.2
6,180,14.37,23.38,33.18,22.7,0.75,1.03,22.45,1.4,49,44.95,0.37,27.18,-4.2
6,181,15.7,25.62,34.51,22.0,0.8,1.16,22.92,1.44,48,44.95,0.4,27.18,-4.2
6,182,16.82,27.53,35.63,22.01,0.84,1.25,23.91,1.47,46,44.93,0.44,27.18,-4.2
6,183,16.91,27.69,35.72,21.95,0.84,1.26,23.91,1.47,46,44.91,0.44,27.18,-4.2
6,184,17.17,28.13,35.98,21.78,0.85,1.29,24.44,1.48,45,44.95,0.46,27.18,-4.2
6,185,17.42,28.56,36.23,22.19,0.86,1.29,23.91,1.48,46,44.95,0.45,27.18,-4.2
6,186,19.05,31.37,37.86,21.64,0.92,1.45,22.73,1.52,44,44.93,0.5,27.18,-4.2
6,187,19.97,32.95,38.78,20.89,0.95,1.58,25.58,1.55,43,44.91,0.53,27.18,-4.2
6,188,20.01,33.03,38.82,20.81,0.95,1.59,25.0,1.55,44,44.88,0.52,27.18,-4.2
6,189,20.14,33.25,38.95,21.08,0.96,1.58,25.58,1.55,43,44.89,0.54,27.18,-4.2
