Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
5,41,15.28,24.91,34.09,22.7,0.77,0.82,1.1,27.27,1.23,0.16,121,22.7,3.19,-0.97,3.29,3,12,27.15,-4.6,49.11,5,3,Aug_2026 (+19.24%),May_2026 (-7.61%),2026-08-22T00:00:00,2026-06-02T01:00:00,8.26,-6.33,1.88,-4.98,-7.61,0.42,6.14,19.24
5,42,15.7,25.63,34.51,22.4,0.78,0.83,1.14,27.35,1.24,0.17,117,23.4,3.21,-0.97,3.31,3,11,27.15,-4.6,48.96,5,3,Aug_2026 (+19.88%),May_2026 (-7.76%),2026-08-22T00:00:00,2026-06-07T19:00:00,8.24,-6.61,2.24,-5.14,-7.76,1.31,5.35,19.88
5,43,19.12,31.49,37.93,21.55,0.9,0.96,1.46,28.32,1.29,0.21,113,24.2,3.25,-1.0,3.26,3,11,27.9,-4.6,48.93,5,3,Aug_2026 (+19.85%),May_2026 (-7.48%),2026-08-22T00:00:00,2026-06-07T19:00:00,8.26,-6.99,2.61,-4.55,-7.48,2.12,6.69,19.85
5,44,22.13,36.71,40.94,21.03,1.0,1.06,1.75,29.63,1.33,0.24,108,25.4,3.22,-1.02,3.16,3,11,27.9,-4.6,48.93,5,3,Aug_2026 (+19.98%),Feb_2026 (-7.91%),2026-08-22T00:00:00,2026-03-03T08:00:00,8.24,-7.91,5.06,-4.25,-7.52,2.83,6.76,19.98
5,45,21.1,34.92,39.91,21.67,0.97,1.03,1.61,29.09,1.32,0.23,110,24.9,3.21,-1.0,3.22,3,11,27.9,-4.6,48.88,5,3,Aug_2026 (+19.98%),Feb_2026 (-8.37%),2026-08-22T00:00:00,2026-03-03T08:00:00,7.9,-8.37,5.21,-4.12,-7.55,2.83,6.45,19.98
5,46,13.17,21.34,31.97,25.03,0.69,0.74,0.85,28.57,1.23,0.16,112,24.5,3.04,-0.99,3.06,3,11,27.9,-4.6,48.91,5,3,Aug_2026 (+19.67%),Feb_2026 (-8.21%),2026-08-22T00:00:00,2026-06-07T19:00:00,7.08,-8.21,1.54,-4.16,-7.55,0.91,5.97,19.67
5,47,9.94,15.98,28.75,25.45,0.58,0.61,0.63,28.32,1.18,0.13,113,24.2,3.04,-1.02,2.99,2,11,27.9,-4.6,48.84,4,4,Aug_2026 (+20.13%),Feb_2026 (-8.27%),2026-01-14T20:00:00,2026-07-01T10:00:00,7.55,-8.27,1.43,-3.34,-7.98,-2.31,5.25,20.13
5,48,14.18,23.05,32.98,24.6,0.73,0.77,0.94,28.83,1.24,0.17,111,24.6,3.06,-1.0,3.06,2,12,27.9,-4.6,48.86,4,4,Aug_2026 (+21.72%),May_2026 (-8.61%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.76,-6.71,1.16,-2.99,-8.61,-2.62,6.85,21.72
5,49,17.3,28.36,36.11,23.49,0.84,0.89,1.21,29.63,1.28,0.2,108,25.4,3.06,-1.01,3.04,2,11,27.9,-4.6,48.89,4,4,Aug_2026 (+22.13%),May_2026 (-8.09%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.68,-5.17,0.81,-2.83,-8.09,-3.1,7.81,22.13
5,50,19.09,31.43,37.9,22.54,0.9,0.96,1.39,29.52,1.31,0.22,105,26.1,3.14,-1.01,3.12,2,11,27.9,-4.6,48.88,4,4,Aug_2026 (+22.26%),May_2026 (-8.09%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.92,-4.18,1.5,-2.61,-8.09,-3.1,7.99,22.26
