Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
203,228,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
204,227,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
205,226,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
206,225,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
207,224,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
208,223,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
209,222,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
210,221,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
200,234,37.12,63.86,55.93,16.89,1.55,1.61,3.78,62.5,8.08,4.41,8,349.0,8.05,-1.66,4.85,3,1,27.79,-4.13,49.86,5,1,Aug_2026 (+27.27%),May_2026 (-4.13%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.13,0.0,5.94,27.27
203,229,37.1,63.83,55.91,16.89,1.55,1.6,3.78,55.56,7.07,3.92,9,309.6,8.23,-1.45,5.66,3,2,27.69,-4.67,49.75,5,1,Aug_2026 (+27.92%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
