open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-04-11 23:00:00+00:00,2296.89,2296.89,2276.47,2284.99,8736.7846,2026-04-11 23:59:59.999000+00:00,19962008.198917,86123,3411.17290000,7794182.53879500,0
2026-04-12 00:00:00+00:00,2285.0,2288.24,2273.0,2285.72,11950.9632,2026-04-12 00:59:59.999000+00:00,27273406.071076,81916,5587.52440000,12758728.63422100,0
2026-04-12 01:00:00+00:00,2285.72,2288.57,2209.14,2219.05,47252.7935,2026-04-12 01:59:59.999000+00:00,105914339.71081,437546,21964.06010000,49227604.31098500,0
2026-04-12 02:00:00+00:00,2219.05,2234.35,2207.06,2223.43,16377.1274,2026-04-12 02:59:59.999000+00:00,36406629.614602,220599,8187.58130000,18201659.77497500,0
2026-04-12 03:00:00+00:00,2223.42,2227.15,2211.99,2213.71,15756.5771,2026-04-12 03:59:59.999000+00:00,34934273.227119,106795,7662.73530000,16985844.41813600,0
2026-04-12 04:00:00+00:00,2213.7,2216.5,2209.08,2212.16,11540.8392,2026-04-12 04:59:59.999000+00:00,25537887.862468,81128,6872.66770000,15206780.01022600,0
2026-04-12 05:00:00+00:00,2212.17,2219.96,2208.32,2217.28,7916.3233,2026-04-12 05:59:59.999000+00:00,17533952.376237,68134,3363.87970000,7451156.35762700,0
2026-04-12 06:00:00+00:00,2217.28,2220.87,2214.71,2216.07,3635.7662,2026-04-12 06:59:59.999000+00:00,8063231.408373,44708,1509.21580000,3347491.47825700,0
2026-04-12 07:00:00+00:00,2216.08,2220.48,2212.2,2218.02,4551.117,2026-04-12 07:59:59.999000+00:00,10086008.33651,44123,2232.49010000,4948446.45968000,0
2026-04-12 08:00:00+00:00,2218.02,2219.04,2211.92,2214.0,5164.478,2026-04-12 08:59:59.999000+00:00,11445655.929012,31192,2312.50290000,5126427.35212900,0
2026-04-12 09:00:00+00:00,2214.0,2216.08,2211.44,2214.19,5214.3202,2026-04-12 09:59:59.999000+00:00,11543599.154981,33141,2587.73580000,5729429.26331900,0
2026-04-12 10:00:00+00:00,2214.2,2217.24,2194.32,2201.66,10789.8651,2026-04-12 10:59:59.999000+00:00,23788808.835951,81430,4335.57120000,9562413.22638400,0
2026-04-12 11:00:00+00:00,2201.65,2207.41,2197.54,2204.62,5559.1,2026-04-12 11:59:59.999000+00:00,12246768.255485,51888,3066.24530000,6754918.19521000,0
2026-04-12 12:00:00+00:00,2204.62,2208.22,2188.0,2194.76,12882.0071,2026-04-12 12:59:59.999000+00:00,28324696.302546,105828,6678.88690000,14684313.72437200,0
2026-04-12 13:00:00+00:00,2194.76,2199.17,2185.17,2186.98,15286.3697,2026-04-12 13:59:59.999000+00:00,33503680.769047,158704,6324.11530000,13864758.96937100,0
2026-04-12 14:00:00+00:00,2186.98,2193.53,2178.69,2180.86,16800.0145,2026-04-12 14:59:59.999000+00:00,36742502.318081,139893,8708.73990000,19056153.06000200,0
2026-04-12 15:00:00+00:00,2180.88,2188.89,2175.0,2186.47,8622.2898,2026-04-12 15:59:59.999000+00:00,18812627.870871,85325,4330.98820000,9452335.97212600,0
2026-04-12 16:00:00+00:00,2186.47,2190.43,2183.09,2187.09,4674.3927,2026-04-12 16:59:59.999000+00:00,10221220.676962,53716,2211.33400000,4836474.38192900,0
2026-04-12 17:00:00+00:00,2187.09,2205.0,2187.09,2203.17,7545.5178,2026-04-12 17:59:59.999000+00:00,16572546.479858,80626,5065.40470000,11125578.70489300,0
2026-04-12 18:00:00+00:00,2203.18,2207.23,2199.56,2200.6,5588.7032,2026-04-12 18:59:59.999000+00:00,12312160.688884,59534,2846.48320000,6271431.08493200,0
2026-04-12 19:00:00+00:00,2200.6,2205.2,2197.4,2198.27,3607.8964,2026-04-12 19:59:59.999000+00:00,7943679.940291,34095,1183.27170000,2605119.46232100,0
2026-04-12 20:00:00+00:00,2198.27,2218.13,2193.34,2213.53,8794.3235,2026-04-12 20:59:59.999000+00:00,19405465.554551,91423,4870.54270000,10751377.63203100,0
2026-04-12 21:00:00+00:00,2213.54,2217.71,2205.19,2211.24,4865.707,2026-04-12 21:59:59.999000+00:00,10752186.398283,72652,2352.92820000,5199984.80030000,0
2026-04-12 22:00:00+00:00,2211.24,2211.26,2183.99,2199.37,16989.2668,2026-04-12 22:59:59.999000+00:00,37276685.13697,284928,8753.07870000,19208384.53022100,0
2026-04-12 23:00:00+00:00,2199.36,2199.36,2186.35,2191.65,6791.1234,2026-04-12 23:59:59.999000+00:00,14878825.92292,126484,2650.26060000,5805765.30538600,0
2026-04-13 00:00:00+00:00,2191.64,2208.32,2187.2,2205.18,10357.5572,2026-04-13 00:59:59.999000+00:00,22785757.603431,147883,5421.55290000,11927121.20472900,0
2026-04-13 01:00:00+00:00,2205.18,2209.05,2200.55,2203.69,5431.0629,2026-04-13 01:59:59.999000+00:00,11972016.423512,90196,2515.13770000,5544235.94423900,0
2026-04-13 02:00:00+00:00,2203.68,2205.84,2192.49,2194.22,5454.4607,2026-04-13 02:59:59.999000+00:00,11987012.54772,83468,1879.69300000,4130636.24779200,0
2026-04-13 03:00:00+00:00,2194.23,2195.8,2190.1,2194.36,5212.3977,2026-04-13 03:59:59.999000+00:00,11430885.880353,64129,2897.69330000,6355878.25896300,0
