direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
LONG,2026-07-17T06:00,1832.31,2026-07-17T13:00,1825.5,7,-0.47,Signal flip
LONG,2026-07-17T15:00,1830.88,2026-07-23T17:00,1878.31,146,2.49,Signal flip
LONG,2026-07-23T20:00,1885.98,2026-07-23T21:00,1882.72,1,-0.27,Signal flip
LONG,2026-07-24T06:00,1888.13,2026-07-24T10:00,1883.82,4,-0.33,Signal flip
LONG,2026-07-26T00:00,1881.05,2026-07-26T01:00,1878.68,1,-0.23,Signal flip
LONG,2026-07-26T02:00,1880.97,2026-07-27T22:00,1893.6,44,0.57,Signal flip
LONG,2026-07-28T15:00,1920.02,2026-07-29T03:00,1892.7,12,-1.52,Signal flip
LONG,2026-07-29T04:00,1905.52,2026-07-29T14:00,1895.23,10,-0.64,Signal flip
LONG,2026-07-29T17:00,1916.16,2026-07-29T19:00,1888.56,2,-1.54,Signal flip
LONG,2026-07-29T22:00,1907.18,2026-07-30T00:00,1898.22,2,-0.57,Signal flip
LONG,2026-07-30T01:00,1916.77,2026-07-31T06:00,1902.61,29,-0.84,Signal flip
LONG,2026-08-02T21:00,1890.43,2026-08-02T22:00,1882.11,1,-0.54,Signal flip
LONG,2026-08-05T13:00,1878.53,2026-08-05T14:00,1875.89,1,-0.24,Signal flip
LONG,2026-08-05T16:00,1895.56,2026-08-10T13:00,1897.6,117,0.01,Signal flip
LONG,2026-08-12T09:00,1905.84,2026-08-12T14:00,1887.79,5,-1.05,Signal flip
LONG,2026-08-13T05:00,1895.81,2026-08-13T08:00,1890.05,3,-0.4,Signal flip
LONG,2026-08-16T16:00,1889.58,2026-08-16T17:00,1885.17,1,-0.33,Signal flip
LONG,2026-08-17T01:00,1891.65,2026-08-22T08:00,2423.3,127,28.01,Dataset end
