trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
15,EMA_SAR_207_224,LONG,2026-01-26T14:40,2918.41,2026-01-29T03:50,2949.47,734,61.17,11376.98,121.11,1.06,11498.08,Signal Flip
16,EMA_SAR_207_224,SHORT,2026-01-29T03:50,2949.47,2026-02-02T18:25,2346.19,1327,110.58,11498.08,2351.8,20.45,13849.89,Signal Flip
17,EMA_SAR_207_224,LONG,2026-02-02T18:25,2346.19,2026-02-03T09:35,2284.54,182,15.17,13849.89,-363.96,-2.63,13485.93,Signal Flip
18,EMA_SAR_207_224,SHORT,2026-02-03T09:35,2284.54,2026-02-06T18:00,2068.04,965,80.42,13485.93,1277.99,9.48,14763.92,Signal Flip
19,EMA_SAR_207_224,LONG,2026-02-06T18:00,2068.04,2026-02-09T06:25,2073.05,725,60.42,14763.92,35.76,0.24,14799.68,Signal Flip
20,EMA_SAR_207_224,SHORT,2026-02-09T06:25,2073.05,2026-02-09T19:40,2133.39,159,13.25,14799.68,-430.72,-2.91,14368.96,Signal Flip
21,EMA_SAR_207_224,LONG,2026-02-09T19:40,2133.39,2026-02-10T06:35,2040.7,131,10.92,14368.96,-624.27,-4.34,13744.69,Signal Flip
22,EMA_SAR_207_224,SHORT,2026-02-10T06:35,2040.7,2026-02-12T11:00,1995.16,629,52.42,13744.69,306.74,2.23,14051.43,Signal Flip
23,EMA_SAR_207_224,LONG,2026-02-12T11:00,1995.16,2026-02-12T16:40,1917.56,68,5.67,14051.43,-546.49,-3.89,13504.93,Signal Flip
24,EMA_SAR_207_224,SHORT,2026-02-12T16:40,1917.56,2026-02-13T12:45,1961.51,241,20.08,13504.93,-309.53,-2.29,13195.41,Signal Flip
25,EMA_SAR_207_224,LONG,2026-02-13T12:45,1961.51,2026-02-15T13:10,2022.14,581,48.42,13195.41,407.86,3.09,13603.26,Signal Flip
26,EMA_SAR_207_224,SHORT,2026-02-15T13:10,2022.14,2026-02-17T01:00,1999.45,430,35.83,13603.26,152.63,1.12,13755.9,Signal Flip
27,EMA_SAR_207_224,LONG,2026-02-17T01:00,1999.45,2026-02-17T08:50,1976.48,94,7.83,13755.9,-158.02,-1.15,13597.88,Signal Flip
28,EMA_SAR_207_224,SHORT,2026-02-17T08:50,1976.48,2026-02-17T20:05,1998.87,135,11.25,13597.88,-154.02,-1.13,13443.86,Signal Flip
29,EMA_SAR_207_224,LONG,2026-02-17T20:05,1998.87,2026-02-18T15:35,1982.78,234,19.5,13443.86,-108.22,-0.8,13335.63,Signal Flip
30,EMA_SAR_207_224,SHORT,2026-02-18T15:35,1982.78,2026-02-18T15:40,2005.6,1,0.08,13335.63,-153.51,-1.15,13182.12,Signal Flip
31,EMA_SAR_207_224,LONG,2026-02-18T15:40,2005.6,2026-02-18T16:05,1975.38,5,0.42,13182.12,-198.63,-1.51,12983.5,Signal Flip
32,EMA_SAR_207_224,SHORT,2026-02-18T16:05,1975.38,2026-02-20T09:05,1968.37,492,41.0,12983.5,46.06,0.35,13029.56,Signal Flip
33,EMA_SAR_207_224,LONG,2026-02-20T09:05,1968.37,2026-02-20T13:40,1925.13,55,4.58,13029.56,-286.27,-2.2,12743.29,Signal Flip
34,EMA_SAR_207_224,SHORT,2026-02-20T13:40,1925.13,2026-02-20T17:00,1969.6,40,3.33,12743.29,-294.42,-2.31,12448.87,Signal Flip
