Strategy,Timeframe,Fast_EMA,Slow_EMA,Method,Initial_Capital,Final_Equity,Net_PnL_USD,Total_Return_Pct,CAGR_Pct,Alpha_vs_ETH_Pct,Max_Drawdown_Pct,Max_Drawdown_USD,Avg_Drawdown_Pct,Peak_Equity_Time,MDD_Trough_Time,Max_DD_Duration_Hours,Recovery_Factor,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Composite_Score,Total_Trades,Win_Rate_Pct,Loss_Rate_Pct,Profit_Factor,Expectancy_Pct,Expectancy_USD,Avg_Win_Pct,Avg_Loss_Pct,Payoff_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Avg_Holding_Hours,Long_Trades_Count,Long_Win_Rate_Pct,Long_Net_PnL_USD,Short_Trades_Count,Short_Win_Rate_Pct,Short_Net_PnL_USD,Exposure_Pct,Total_Fees_USD,Fee_Drag_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun
EMA_SAR_45_145_5m,5m,45,145,Stop-and-Reverse (SAR),10000.0,7051.9,-2948.1,-29.48,-50.56,17.62,49.09,6595.33,27.14,2026-02-06T00:15,2026-06-02T06:30,3479.7,-0.45,-0.87,-1.14,-1.03,0.99,3.6,392,24.2,75.8,0.89,-0.06,-7.52,2.69,0.93,2.89,4,16,23.99,-5.38,11.1,196,23.0,-3554.38,196,25.5,606.22,99.9,3920.0,39.2,2,4,Feb (+7.34%),May (-20.92%),6.56,7.34,-20.36,-1.12,-20.92,-1.01
EMA_SAR_75_130_30m,30m,75,130,Stop-and-Reverse (SAR),10000.0,7048.85,-2951.15,-29.51,-50.6,17.59,56.4,8068.89,36.08,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.37,-0.97,-1.28,-0.9,0.98,5.0,54,27.8,72.2,0.71,-0.5,-54.65,5.83,2.94,1.98,2,14,25.71,-6.93,80.0,27,22.2,-3993.54,27,33.3,1042.45,99.4,540.0,5.4,3,3,Jan (+18.41%),Feb (-21.70%),18.41,-21.7,-14.08,-18.57,2.79,5.72
EMA_SAR_165_180_30m,30m,165,180,Stop-and-Reverse (SAR),10000.0,7048.3,-2951.7,-29.52,-50.61,17.58,58.0,7874.81,34.14,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.37,-1.02,-1.32,-0.87,0.98,5.0,34,26.5,73.5,0.68,-0.75,-86.81,8.72,4.16,2.1,2,8,26.75,-11.58,127.0,17,29.4,-3748.84,17,23.5,797.13,99.4,340.0,3.4,3,3,Jan (+12.22%),Mar (-19.15%),12.22,-18.38,-19.15,-13.47,1.41,8.48
EMA_SAR_160_185_30m,30m,160,185,Stop-and-Reverse (SAR),10000.0,7046.55,-2953.45,-29.53,-50.64,17.57,58.01,7876.23,34.07,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.37,-1.02,-1.32,-0.87,0.98,5.0,34,26.5,73.5,0.68,-0.75,-86.87,8.7,4.15,2.09,2,8,26.75,-11.58,127.0,17,29.4,-3747.96,17,23.5,794.52,99.4,340.0,3.4,3,3,Jan (+12.22%),Mar (-19.01%),12.22,-18.23,-19.01,-13.71,1.31,8.48
EMA_SAR_20_65_1h,1h,20,65,Stop-and-Reverse (SAR),10000.0,7044.63,-2955.37,-29.55,-50.67,17.55,51.77,7519.79,34.04,2026-02-05T23:00,2026-06-30T19:00,3480.0,-0.39,-1.0,-1.37,-0.98,0.97,1.7,76,25.0,75.0,0.74,-0.36,-38.89,4.98,2.14,2.33,2,10,28.22,-5.88,56.5,38,18.4,-4275.47,38,31.6,1320.12,98.9,760.0,7.6,1,5,Jan (+22.70%),Feb (-19.13%),22.7,-19.13,-16.22,-8.31,-6.17,-1.5
EMA_SAR_90_125_30m,30m,90,125,Stop-and-Reverse (SAR),10000.0,7041.97,-2958.03,-29.58,-50.7,17.52,56.18,7790.4,36.33,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.38,-0.97,-1.29,-0.9,0.98,5.0,54,27.8,72.2,0.7,-0.51,-54.78,5.71,2.9,1.97,2,14,24.05,-6.93,80.0,27,22.2,-4003.68,27,33.3,1045.66,99.4,540.0,5.4,3,3,Jan (+14.62%),Feb (-25.39%),14.62,-25.39,-10.11,-17.78,3.75,7.39
EMA_SAR_40_140_1h,1h,40,140,Stop-and-Reverse (SAR),10000.0,7042.47,-2957.53,-29.58,-50.7,17.52,57.88,8180.02,34.45,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.36,-1.05,-1.38,-0.88,0.97,5.0,38,18.4,81.6,0.69,-0.67,-77.83,11.52,3.42,3.37,2,8,26.93,-11.13,113.0,19,15.8,-4014.01,19,21.1,1056.48,98.9,380.0,3.8,3,3,Jan (+18.80%),Feb (-20.24%),18.8,-20.24,-20.1,-13.52,3.54,3.87
EMA_SAR_155_190_30m,30m,155,190,Stop-and-Reverse (SAR),10000.0,7039.54,-2960.46,-29.6,-50.74,17.5,58.29,7959.11,34.3,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.37,-1.02,-1.33,-0.87,0.98,5.0,34,26.5,73.5,0.68,-0.75,-87.07,8.73,4.17,2.1,2,8,26.75,-11.58,127.0,17,29.4,-3761.09,17,23.5,800.64,99.4,340.0,3.4,3,3,Jan (+12.85%),Mar (-19.66%),12.85,-18.23,-19.66,-13.71,1.45,8.48
EMA_SAR_90_130_30m,30m,90,130,Stop-and-Reverse (SAR),10000.0,7039.94,-2960.06,-29.6,-50.73,17.5,54.15,7387.75,35.48,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.4,-0.97,-1.3,-0.94,0.98,5.0,54,25.9,74.1,0.7,-0.51,-54.82,6.14,2.84,2.16,2,14,24.49,-6.93,80.0,27,25.9,-4012.82,27,25.9,1052.78,99.4,540.0,5.4,3,3,Jan (+12.77%),Feb (-25.05%),12.77,-25.05,-11.62,-12.91,4.77,3.29
EMA_SAR_90_120_30m,30m,90,120,Stop-and-Reverse (SAR),10000.0,7036.43,-2963.57,-29.64,-50.78,17.46,56.19,8050.1,36.41,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.37,-0.98,-1.29,-0.9,0.98,5.0,54,24.1,75.9,0.71,-0.51,-54.88,6.62,2.78,2.39,2,14,23.86,-6.93,80.0,27,22.2,-4066.25,27,25.9,1102.67,99.4,540.0,5.4,3,3,Jan (+18.42%),Feb (-23.20%),18.42,-23.2,-11.83,-18.58,2.79,4.85
