strategy,timeframe,total_return_pct,net_pnl_usd,final_equity,max_drawdown_pct,sharpe,sortino,calmar,win_rate_pct,profit_factor,expectancy_pct,total_trades,avg_hold_hours,exposure_pct,fees_applied_pct,strategy_base,method,fast_ema,slow_ema
EMA_SAR_9_21_30m,30m,-24.03,-2402.73,7597.27,44.84,-0.63,-0.88,-0.95,26.1,0.92,-0.04,394,11.0,99.4,39.4,EMA_SAR_9_21,Method 1: SAR,9,21.0
EMA_CONFIRMED_9_21_1h,1h,-25.45,-2544.64,7455.36,38.56,-0.9,-1.12,-1.16,26.2,0.89,-0.03,522,5.8,70.0,52.2,EMA_CONFIRMED_9_21,Method 2: Cross+Price,9,21.0
EMA_CONFIRMED_50_200_30m,30m,-27.39,-2738.88,7261.12,48.98,-1.06,-1.23,-0.97,16.8,0.84,-0.07,370,7.5,63.7,37.0,EMA_CONFIRMED_50_200,Method 2: Cross+Price,50,200.0
EMA_CONFIRMED_20_100_1h,1h,-27.41,-2741.42,7258.58,46.79,-1.08,-1.26,-1.02,21.1,0.84,-0.07,323,8.3,61.9,32.3,EMA_CONFIRMED_20_100,Method 2: Cross+Price,20,100.0
EMA_CONFIRMED_20_200_1h,1h,-28.95,-2894.68,7105.32,46.36,-1.21,-1.36,-1.07,19.9,0.82,-0.08,316,8.0,58.2,31.6,EMA_CONFIRMED_20_200,Method 2: Cross+Price,20,200.0
EMA_CONFIRMED_50_100_30m,30m,-29.87,-2986.91,7013.09,54.11,-1.15,-1.39,-0.94,16.8,0.83,-0.07,381,7.9,69.4,38.1,EMA_CONFIRMED_50_100,Method 2: Cross+Price,50,100.0
EMA_CONFIRMED_20_50_1h,1h,-31.57,-3157.06,6842.94,49.84,-1.29,-1.57,-1.07,20.5,0.82,-0.09,337,8.7,67.5,33.7,EMA_CONFIRMED_20_50,Method 2: Cross+Price,20,50.0
EMA_CONFIRMED_12_26_1h,1h,-33.94,-3394.06,6605.94,49.94,-1.38,-1.71,-1.13,24.6,0.83,-0.07,455,6.6,69.6,45.5,EMA_CONFIRMED_12_26,Method 2: Cross+Price,12,26.0
EMA_CONFIRMED_20_100_30m,30m,-35.95,-3594.98,6405.02,52.05,-1.49,-1.78,-1.14,20.6,0.84,-0.06,621,4.4,63.3,62.1,EMA_CONFIRMED_20_100,Method 2: Cross+Price,20,100.0
EMA_CONFIRMED_20_50_30m,30m,-36.44,-3643.95,6356.05,51.76,-1.49,-1.84,-1.16,22.5,0.84,-0.06,645,4.6,68.8,64.5,EMA_CONFIRMED_20_50,Method 2: Cross+Price,20,50.0
EMA_SAR_20_200_5m,5m,-39.48,-3947.85,6052.15,53.34,-1.39,-1.84,-1.19,20.9,0.85,-0.07,478,9.1,99.9,47.8,EMA_SAR_20_200,Method 1: SAR,20,200.0
SINGLE_EMA_50_30m,30m,-40.53,-4053.03,5946.97,55.62,-1.49,-2.18,-1.17,15.7,0.84,-0.06,686,6.3,99.4,68.6,SINGLE_EMA_50,Method 3: Single EMA,50,
EMA_CONFIRMED_20_200_30m,30m,-41.08,-4107.59,5892.41,54.22,-1.87,-2.13,-1.21,19.3,0.81,-0.07,610,4.2,59.0,61.0,EMA_CONFIRMED_20_200,Method 2: Cross+Price,20,200.0
SINGLE_EMA_20_1h,1h,-43.92,-4392.24,5607.76,50.41,-1.71,-2.49,-1.37,18.7,0.82,-0.08,588,7.3,98.9,58.8,SINGLE_EMA_20,Method 3: Single EMA,20,
EMA_SAR_50_100_5m,5m,-44.78,-4477.81,5522.19,54.41,-1.65,-2.18,-1.28,24.6,0.83,-0.1,472,9.2,99.9,47.2,EMA_SAR_50_100,Method 1: SAR,50,100.0
EMA_CONFIRMED_12_26_30m,30m,-45.22,-4522.16,5477.84,48.54,-2.06,-2.72,-1.45,22.2,0.84,-0.06,924,3.3,70.3,92.4,EMA_CONFIRMED_12_26,Method 2: Cross+Price,12,26.0
EMA_SAR_20_100_5m,5m,-52.06,-5206.45,4793.55,55.98,-2.08,-2.77,-1.38,21.9,0.82,-0.09,718,6.0,99.9,71.8,EMA_SAR_20_100,Method 1: SAR,20,100.0
EMA_CONFIRMED_209_223_5m,5m,-58.75,-5875.28,4124.72,66.96,-3.02,-3.53,-1.24,13.3,0.74,-0.07,1115,2.9,75.6,111.5,EMA_CONFIRMED_209_223,Method 2: Cross+Price,209,223.0
EMA_CONFIRMED_9_21_30m,30m,-59.43,-5943.05,4056.95,60.82,-3.21,-4.19,-1.38,22.3,0.79,-0.08,1080,2.8,69.5,108.0,EMA_CONFIRMED_9_21,Method 2: Cross+Price,9,21.0
EMA_CONFIRMED_207_224_5m,5m,-60.19,-6018.89,3981.11,67.44,-3.15,-3.68,-1.25,13.2,0.74,-0.08,1116,2.9,75.5,111.6,EMA_CONFIRMED_207_224,Method 2: Cross+Price,207,224.0
SINGLE_EMA_20_30m,30m,-66.18,-6617.68,3382.32,67.15,-3.27,-4.79,-1.32,19.4,0.77,-0.08,1140,3.8,99.4,114.0,SINGLE_EMA_20,Method 3: Single EMA,20,
EMA_SAR_20_50_5m,5m,-73.17,-7317.38,2682.62,74.42,-3.92,-5.26,-1.25,22.7,0.74,-0.11,1128,3.8,99.9,112.8,EMA_SAR_20_50,Method 1: SAR,20,50.0
EMA_CONFIRMED_100_200_5m,5m,-76.32,-7631.95,2368.05,77.25,-5.16,-6.07,-1.22,13.8,0.7,-0.08,1681,1.8,70.4,168.1,EMA_CONFIRMED_100_200,Method 2: Cross+Price,100,200.0
