Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_SAR_LONG_SHORT,210,221,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,207,224,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,199,232,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,204,227,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,205,226,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,203,228,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,206,225,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,198,233,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,200,234,101.95,200.25,120.62,22.69,2.16,2.95,8.82,43.75,5.82,16,350.0,4.9,31.36,-4.64,100.0,6,2,20.08,18.24,-7.17,3.66,2.24,22.77,-5.56,24.69
EMA_CROSSOVER_SAR_LONG_SHORT,206,226,101.88,200.1,120.56,23.56,2.16,2.95,8.49,38.89,5.74,18,311.1,4.36,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.97
