Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_LONG_ONLY,204,227,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,203,228,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,206,225,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,207,224,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,208,223,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,202,229,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,198,233,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,200,234,37.34,64.27,56.02,16.89,1.56,1.61,3.81,62.5,8.12,8,349.0,4.44,28.0,-4.13,49.86,5,1,0.16,0.0,0.3,5.61,-4.13,0.0,5.94,27.47
EMA_CROSSOVER_LONG_ONLY,207,225,37.33,64.25,56.0,16.89,1.56,1.61,3.8,55.56,7.12,9,309.6,3.95,27.9,-4.67,49.75,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.13
EMA_CROSSOVER_LONG_ONLY,206,226,37.33,64.25,56.0,16.89,1.56,1.61,3.8,55.56,7.12,9,309.6,3.95,27.9,-4.67,49.75,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.13
EMA_CROSSOVER_LONG_ONLY,203,229,37.33,64.25,56.0,16.89,1.56,1.61,3.8,55.56,7.12,9,309.6,3.95,27.9,-4.67,49.75,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.13
EMA_CROSSOVER_LONG_ONLY,205,227,37.33,64.25,56.0,16.89,1.56,1.61,3.8,55.56,7.12,9,309.6,3.95,27.9,-4.67,49.75,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.13
