Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Trades_Closed,Total_Series_Adds,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
EMA_CROSS_SAR,209,223,BARS_ELAPSED,24.0,50,10000.0,17449.03,74.49,22.79,2.17,43.75,4.2,16,128,15.55,13.88,-5.84,2.21,1.78,17.59,-1.32,17.59
EMA_CROSS_SAR,209,223,BARS_ELAPSED,24.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,5,10000.0,10987.0,9.87,9.14,0.87,37.5,1.49,16,128,1.84,5.3,-3.67,-1.16,1.5,10.62,-5.2,1.31
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,10,10000.0,12111.95,21.12,12.13,1.23,37.5,2.02,16,128,3.81,8.7,-4.6,-1.53,2.46,15.13,-5.23,2.56
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,15,10000.0,13126.38,31.26,15.02,1.49,37.5,2.55,16,128,5.73,10.85,-4.67,-1.46,3.04,17.09,-4.35,3.78
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,20,10000.0,13982.8,39.83,16.96,1.67,43.75,3.03,16,128,7.51,12.18,-4.5,-1.17,3.35,17.9,-3.48,5.0
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,25,10000.0,14690.7,46.91,18.29,1.8,50.0,3.39,16,128,9.07,12.99,-4.3,-0.77,3.48,18.19,-2.8,6.21
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,30,10000.0,15273.49,52.73,19.24,1.9,50.0,3.64,16,124,10.41,13.47,-4.14,-0.36,3.49,18.23,-2.29,7.44
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,50,10000.0,16798.91,67.99,21.26,2.11,50.0,4.2,16,102,13.86,14.01,-4.05,1.08,2.92,17.81,-1.33,12.38
EMA_CROSS_SAR,209,223,BARS_ELAPSED,48.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,5,10000.0,10678.86,6.79,7.21,0.77,43.75,1.51,16,88,1.21,4.07,-3.23,-0.61,1.0,8.16,-4.67,1.38
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,10,10000.0,11486.0,14.86,10.78,1.06,43.75,1.87,16,88,2.56,7.01,-4.68,-0.88,1.71,12.75,-5.7,2.73
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,15,10000.0,12301.84,23.02,12.58,1.29,43.75,2.24,16,88,3.99,9.13,-5.26,-0.92,2.19,15.34,-5.47,4.03
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,20,10000.0,13075.09,30.75,14.45,1.48,43.75,2.63,16,88,5.43,10.65,-5.41,-0.79,2.5,16.81,-4.86,5.31
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,25,10000.0,13786.08,37.86,16.11,1.63,50.0,2.98,16,88,6.84,11.74,-5.35,-0.55,2.66,17.62,-4.19,6.56
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,30,10000.0,14429.86,44.3,17.38,1.76,50.0,3.3,16,88,8.18,12.52,-5.19,-0.25,2.72,18.04,-3.57,7.8
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,50,10000.0,16400.81,64.01,20.24,2.08,50.0,4.21,16,81,12.52,13.81,-4.51,1.1,2.38,18.17,-1.97,12.64
EMA_CROSS_SAR,209,223,BARS_ELAPSED,72.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,5,10000.0,10425.89,4.26,4.38,0.85,37.5,1.83,16,44,1.03,2.06,-1.91,-0.32,0.35,4.54,-2.59,1.29
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,10,10000.0,10913.49,9.13,7.53,1.04,37.5,2.0,16,44,2.07,3.91,-3.23,-0.55,0.65,8.06,-4.0,2.56
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,15,10000.0,11440.99,14.41,9.82,1.2,43.75,2.18,16,44,3.13,5.55,-4.12,-0.71,0.91,10.79,-4.65,3.82
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,20,10000.0,11991.8,19.92,11.48,1.36,43.75,2.36,16,44,4.2,6.99,-4.69,-0.8,1.11,12.88,-4.84,5.06
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,25,10000.0,12553.31,25.53,12.68,1.49,43.75,2.55,16,44,5.28,8.25,-5.03,-0.83,1.28,14.46,-4.75,6.29
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,30,10000.0,13116.02,31.16,13.57,1.62,43.75,2.76,16,44,6.36,9.33,-5.2,-0.8,1.4,15.64,-4.49,7.51
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,50,10000.0,15261.79,52.62,17.99,2.0,43.75,3.59,16,44,10.62,12.23,-5.0,-0.23,1.58,17.85,-3.01,12.31
EMA_CROSS_SAR,209,223,BARS_ELAPSED,168.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,5,10000.0,17511.29,75.11,22.0,2.16,43.75,3.89,16,1516,15.53,13.92,-8.41,3.64,2.4,17.38,-1.06,18.84
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,10,10000.0,18215.16,82.15,21.09,2.25,43.75,4.11,16,897,16.52,13.96,-8.46,4.59,2.07,17.32,-0.75,21.58
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,15,10000.0,18466.79,84.67,20.77,2.28,43.75,4.27,16,619,16.75,13.99,-7.91,4.71,1.86,17.32,-0.58,22.15
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,20,10000.0,18593.05,85.93,20.78,2.29,43.75,4.38,16,471,16.85,14.0,-7.38,4.61,1.66,17.34,-0.5,22.4
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,25,10000.0,18677.3,86.77,20.86,2.3,43.75,4.47,16,380,16.92,13.99,-6.94,4.48,1.48,17.36,-0.46,22.6
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,30,10000.0,18744.14,87.44,20.97,2.31,43.75,4.54,16,317,17.0,13.98,-6.57,4.36,1.33,17.37,-0.45,22.78
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,50,10000.0,18933.7,89.34,21.41,2.34,43.75,4.8,16,177,17.25,13.94,-5.5,3.97,0.98,17.4,-0.49,23.33
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,1.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,5,10000.0,16674.23,66.74,22.1,2.05,43.75,3.83,16,1263,13.89,13.99,-6.98,2.21,2.85,17.64,-1.3,14.02
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,10,10000.0,17538.88,75.39,22.18,2.16,43.75,3.89,16,807,15.6,13.95,-8.41,3.57,2.28,17.4,-1.03,19.09
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,15,10000.0,17988.86,79.89,21.68,2.21,43.75,4.02,16,612,16.29,13.96,-8.58,4.17,2.08,17.35,-0.84,21.01
